gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Brd8	-0.148798937512147	0.949346546321474
Kif20a	0.0492462779822846	1
Farsa	-0.101945157573557	1
Gcdh	0.159443367358293	1
Mast2	0.159345410889264	0.999454628453245
Dnase2a	-0.122852827570875	1
Rad23a	-0.19971744885777	0.84588772041417
Calr	0.130810243786168	1
Syce2	-0.0737622957732586	1
Nfat5	-0.00670793408660237	1
Nob1	0.0159438958038259	1
Nqo1	0.0303007244610703	1
Ppfia3	0.38663373863075	1
Gys1	-0.0475739048301838	1
Ruvbl2	-0.0730784400218861	1
Lin7b	-0.342712143413448	1
Bax	0.182525477456239	1
Il7r	-0.214648961508122	1
Tfam	-0.10971691451342	1
Zfp81	-0.0252430457315194	1
Efnb3	0.130633307837775	1
Mmd	0.119572334222853	1
Hlf	0.126335018679486	1
Fam162a	0.121964683399744	1
Rpl8	-0.121267858530522	1
Grm3	0	NA
Ssbp2	0.0176585382788696	1
Fancl	0.0243445138994879	1
Brinp2	-0.434964906779101	0.993896089119739
Gstm5	0.0195141738480048	1
Gstm7	-0.164000425275331	1
Gstm3	0.0461375648306968	1
Stat3	0.156466885090223	1
Stat5a	0.0360307568363959	1
Cavin1	0.252278705995815	0.870832176928894
Map3k11	-0.00275257029979292	1
Akt2	-0.0773238657398395	1
Dnaja3	-0.0694092394239876	1
Hmox2	0.0943712318772554	1
Cdip1	-0.209027907075816	0.943046641768044
Map3k20	0.0214897089937789	1
Cwc15	-0.0116880067677222	1
Col5a3	0.417823983286572	0.966364907473058
Dnmt1	-0.189155937410941	0.97752656386823
Ppan	0.104241020358681	1
Angptl2	0.249080774790631	1
Cacna1e	-0.102752400795133	1
Cacna1b	-0.377250757398175	1
Trmt10a	-0.0660222553803552	1
Etv1	0.753161947616521	0.522130991575375
Kifc2	-0.230767774348329	1
Psap	0.0456214734624517	1
Ikbkg	0.190508057990096	1
Pax2	0	1
Wars2	-0.0317587872755991	1
Atn1	0.141513855134662	1
Phb2	-0.0703561620821481	1
Ptpn6	0.0244087397480388	1
Eno2	0.0891495958289464	1
Emg1	0.00263415456443695	1
Lpcat3	0.0579392695795567	1
Atp6v1f	-0.0060371975055501	1
Il12b	0.594138688566165	1
Clcn5	-0.00677956727980661	1
Clcn3	-0.0704384367997904	1
Hif3a	-0.493872401137063	1
Gpx6	0	NA
Gpx5	0	1
Pde1c	-0.260850304927202	1
Utp20	0.151339952619059	1
Spic	-0.197267428615667	1
9330159F19Rik	-0.0331884626627902	1
Cul3	-0.0871664565896989	1
Sst	0	NA
Il11	0.768262539072895	0.902550545986064
Large1	0.159092063461302	1
Ddx56	0.131724572106032	1
Tmed4	-0.00522665157041762	1
Col26a1	-0.408766242732566	1
Bid	-0.0617917605891278	1
Ralb	0.171984969194867	0.766962624440406
Ppp1cc	0.077780796420216	1
Dnajb11	0.139075322665784	0.78567884833251
Tbccd1	-0.129362161329862	1
Clec11a	0.207204666954636	1
Zfp324	0.192158094796804	1
Gab2	0.0397957360274232	1
Coro1c	0.0581162804194295	1
Tax1bp1	-0.0447627363601148	1
Psg17	0.38298765791415	1
Psg19	0.785985874534863	1
Ctse	-0.105641183592329	1
Ndrg2	0.13798937484833	1
Mettl17	-0.21145649228073	1
Arhgef40	0.129104580601407	1
Pnpla6	0.00749845246697881	1
Mcoln1	0.0202774991194731	1
Arhgef18	-0.156956494076638	1
Pkn2	0.016535247418095	1
Cd33	-0.0716173062298204	1
Etfb	-0.0935917060147318	1
Nkg7	-0.217954933496785	1
Stxbp2	0.00808194327529318	1
Pcp2	-0.22306744528489	1
Sgce	0.14387953760114	1
Chn2	-0.161742181428273	1
Wwox	0.00179982875118723	1
Slbp	-0.0534594059100801	1
Tyr	0.082177928258429	1
Ghrhr	0.0618278347353034	1
Aqp1	-0.0281624645974872	1
